,X,Y,Z,DOF 1 Displacement,DOF 2 Displacement,DOF 3 Displacement,DOF 4 Displacement,DOF 5 Displacement,DOF 6 Displacement,DOF 1 Force,DOF 2 Force,DOF 3 Force,DOF 4 Force,DOF 5 Force,DOF 6 Force
108,-0.24572,0.30138,-0.03,2.0889524267515274e-05,-4.08557530828059e-05,5.611202426400079e-07,-3.294266861065985e-05,-1.0179998637250806e-05,0.00017501321250236188,-4.547473508864641e-13,-4.547473508864641e-13,0.0,1.6653345369377348e-16,-6.661338147750939e-16,4.440892098500626e-16
109,-0.26061,0.28199,-0.03375,1.833718306798665e-05,-3.6791791992091084e-05,3.276467752323081e-07,-3.306930612968575e-05,-1.159757787935135e-05,0.0001835482545525056,0.0,1.1368683772161603e-12,-2.2737367544323206e-13,-7.771561172376096e-16,2.4424906541753444e-15,3.1086244689504383e-15
110,-0.27549999999999997,0.2626,-0.0375,1.5655557282731482e-05,-3.263254364169972e-05,1.1482064551527849e-07,-3.267378730266636e-05,-1.2603173037475408e-05,0.0001878797554344017,-4.547473508864641e-13,-2.2737367544323206e-13,5.684341886080802e-14,3.0531133177191805e-15,-4.440892098500626e-16,2.6645352591003757e-15
111,-0.29039,0.24321,-0.041249999999999995,1.2927698515316992e-05,-2.8442556845924673e-05,-7.336797797168252e-08,-3.175611212960237e-05,-1.3196784111622867e-05,0.00018800771514805098,0.0,4.547473508864641e-13,-5.684341886080802e-14,-3.0531133177191805e-16,-2.886579864025407e-15,-8.881784197001252e-16
112,-0.30528,0.22382000000000002,-0.045,1.0236658369310407e-05,-2.428638041905882e-05,-2.3292892668917484e-07,-3.0316280610492375e-05,-1.3378411101792626e-05,0.00018393213369345232,-9.094947017729282e-13,1.1368683772161603e-13,8.526512829121202e-14,-2.0816681711721685e-15,1.1102230246251565e-16,-8.881784197001252e-16
113,-0.32017,0.20443,-0.04875,7.66548844827897e-06,-2.022856317539504e-05,-3.5987203209779156e-07,-2.835429274533658e-05,-1.3148054007985303e-05,0.00017565301107060684,-2.2737367544323206e-13,2.2737367544323206e-13,-1.7763568394002505e-15,0.0,-7.771561172376096e-16,2.6645352591003757e-15
114,-0.33506,0.18503999999999998,-0.0525,5.2972403557898724e-06,-1.633365392922618e-05,-4.502071256581273e-07,-2.5870148534135703e-05,-1.2505712830201302e-05,0.0001631703472795175,-4.547473508864641e-13,0.0,-5.684341886080802e-14,-1.5265566588595902e-15,-6.661338147750939e-16,-1.3322676295501878e-15
115,-0.34995,0.16565000000000002,-0.056249999999999994,3.2149656954102336e-06,-1.2666201494845023e-05,-4.999440388307813e-07,-2.2863847976889913e-05,-1.1451387568440715e-05,0.0001464841423201883,-2.2737367544323206e-13,-8.526512829121202e-14,4.263256414560601e-14,-6.938893903907228e-16,0.0,2.6645352591003757e-15
116,-0.36484,0.14626,-0.06,1.5017160707071186e-06,-9.29075468654432e-06,-5.050926030763571e-07,-1.9335391073599872e-05,-9.985078222704085e-06,0.00012559439619262092,-3.979039320256561e-13,-4.831690603168681e-13,0.0,-1.3877787807814457e-16,-2.220446049250313e-16,-8.881784197001252e-16
117,-0.37973,0.12686999999999998,-0.06375,2.405430852475513e-07,-6.2718623186167805e-06,-4.616626498554604e-07,-1.5284777824265766e-05,-8.106784792991572e-06,0.00010050110889681778,-2.2026824808563106e-13,7.815970093361102e-14,-4.263256414560601e-14,-1.3877787807814457e-16,-2.220446049250313e-16,4.440892098500626e-16
